date,product_id,product_name,category,current_stock,min_required,unit_price,cost_per_unit,sales_quantity,sales_amount
2023-01-01,P1001,Wireless Headphones,Electronics,45,50,59.99,35.00,12,719.88
2023-01-01,P1002,Bluetooth Speaker,Electronics,32,30,89.99,55.00,8,719.92
2023-01-01,P2001,Coffee Maker,Appliances,28,25,49.99,30.00,5,249.95
2023-01-02,P1001,Wireless Headphones,Electronics,33,50,59.99,35.00,9,539.91
2023-01-02,P1003,Smart Watch,Electronics,15,20,199.99,120.00,3,599.97
2023-01-03,P2002,Toaster,Appliances,40,30,39.99,22.00,10,399.90
2023-01-03,P3001,Desk Lamp,Home,25,20,29.99,15.00,7,209.93
2023-01-04,P1002,Bluetooth Speaker,Electronics,24,30,89.99,55.00,6,539.94
2023-01-05,P1001,Wireless Headphones,Electronics,24,50,59.99,35.00,8,479.92
2023-01-06,P3002,Throw Pillow,Home,50,40,19.99,8.00,15,299.85
2023-01-07,P2001,Coffee Maker,Appliances,23,25,49.99,30.00,4,199.96
2023-01-08,P1003,Smart Watch,Electronics,12,20,199.99,120.00,2,399.98
2023-01-09,P3001,Desk Lamp,Home,18,20,29.99,15.00,6,179.94
2023-01-10,P1002,Bluetooth Speaker,Electronics,18,30,89.99,55.00,5,449.95
